Name,Price,Discount price,Category,Subcategory,Store_Name,Year,Month,Day,Standardised price per unit,Unit_each,Unit_kg,Unit_litre
Sainsbury’s Pineapple 500g,3.2,,fresh_food,fruits,Sainsburys,2024,12,18,6.4,0.0,1.0,0.0
Sainsbury's Blackberries 225g,3.15,,fresh_food,fruits,Sainsburys,2024,12,18,14.0,0.0,1.0,0.0
Sainsbury's Melon & Pineapple Fingers 260g,2.35,,fresh_food,fruits,Sainsburys,2024,12,18,9.04,0.0,1.0,0.0
Dole Tropical Gold Premium Pineapple Slices In Juice 227g,1.0,,fresh_food,fruits,Sainsburys,2024,12,18,4.41,0.0,1.0,0.0
Sainsbury's Mango & Watermelon Fingers 270g,2.6,,fresh_food,fruits,Sainsburys,2024,12,18,9.63,0.0,1.0,0.0
Sainsbury's Shell On Walnuts 350g,3.0,2.5,fresh_food,fruits,Sainsburys,2024,12,18,8.57,0.0,1.0,0.0
"Sainsbury's Mango, Pineapple & Passion Fruit 250g",2.6,,fresh_food,fruits,Sainsburys,2024,12,18,10.4,0.0,1.0,0.0
Sainsbury's Watermelon Fingers 540g,4.0,,fresh_food,fruits,Sainsburys,2024,12,18,7.41,0.0,1.0,0.0
Sainsbury's Lychees 200g,2.0,,fresh_food,fruits,Sainsburys,2024,12,18,10.0,0.0,1.0,0.0
Dole Tropical Gold Premium Pineapple Chunks In Juice 227g,1.0,,fresh_food,fruits,Sainsburys,2024,12,18,4.41,0.0,1.0,0.0
Sainsbury's White Grapefruit,0.55,,fresh_food,fruits,Sainsburys,2024,12,18,0.55,1.0,0.0,0.0
Sainsbury's Festive Fruit & Nut Mix with Caramelised Spiced ...,4.0,,fresh_food,fruits,Sainsburys,2024,12,18,17.78,0.0,1.0,0.0
Sainsbury's Monkey Nuts in Shell 500g,2.5,,fresh_food,fruits,Sainsburys,2024,12,18,5.0,0.0,1.0,0.0
Sainsbury's Cox Apple Single,0.3,,fresh_food,fruits,Sainsburys,2024,12,18,0.3,1.0,0.0,0.0
Sainsbury's Blush Pears x4,2.3,,fresh_food,fruits,Sainsburys,2024,12,18,0.58,1.0,0.0,0.0
Sainsbury's Mixed Nuts 225g,3.0,,fresh_food,fruits,Sainsburys,2024,12,18,13.33,0.0,1.0,0.0
Sainsbury's Watermelon 300g,2.35,,fresh_food,fruits,Sainsburys,2024,12,18,7.83,0.0,1.0,0.0
Sainsbury's Pineapple 300g,2.35,,fresh_food,fruits,Sainsburys,2024,12,18,7.83,0.0,1.0,0.0
"Sainsbury's Zamli Dates, Taste the Difference 200g",2.5,,fresh_food,fruits,Sainsburys,2024,12,18,12.5,0.0,1.0,0.0
Sainsbury's Brazil Nuts in Shell 325g,3.0,2.5,fresh_food,fruits,Sainsburys,2024,12,18,10.0,0.0,1.0,0.0
Sainsbury's Fruit Platter 350g,3.0,,fresh_food,fruits,Sainsburys,2024,12,18,8.57,0.0,1.0,0.0
Sainsbury's Rhubarb 400g,3.85,,fresh_food,fruits,Sainsburys,2024,12,18,9.63,0.0,1.0,0.0
"Sainsbury's Apple, Mango, Strawberry & Raspberry 220g",2.35,,fresh_food,fruits,Sainsburys,2024,12,18,10.68,0.0,1.0,0.0
Sainsbury's Pineapple & Mango 160g,1.35,,fresh_food,fruits,Sainsburys,2024,12,18,8.44,0.0,1.0,0.0
Sainsbury's Physalis 100g,1.0,,fresh_food,fruits,Sainsburys,2024,12,18,10.0,0.0,1.0,0.0
Sainsbury's Exotic Fruit Salad 240g,2.35,,fresh_food,fruits,Sainsburys,2024,12,18,9.79,0.0,1.0,0.0
Sainsbury's On the Go Watermelon 160g,1.35,,fresh_food,fruits,Sainsburys,2024,12,18,8.44,0.0,1.0,0.0
Sainsbury's Coconut Single,1.25,,fresh_food,fruits,Sainsburys,2024,12,18,1.25,1.0,0.0,0.0
Sainsbury's Apricot Punnet 320g,2.5,,fresh_food,fruits,Sainsburys,2024,12,18,7.81,0.0,1.0,0.0
Sainsbury's Melon & Grape 300g,2.35,,fresh_food,fruits,Sainsburys,2024,12,18,7.83,0.0,1.0,0.0
Sainsbury's Melon Medley 300g,2.35,,fresh_food,fruits,Sainsburys,2024,12,18,7.83,0.0,1.0,0.0
Sainsbury's Nectarine Family Punnet (min X6),3.0,,fresh_food,fruits,Sainsburys,2024,12,18,0.5,1.0,0.0,0.0
